512
0.45000320070610983 0.68718966070611 0.45000320070610983 | 0.0 -0.49800000000000005 0.0
0.45000320070610983 0.68718966070611 0.4999967992938901 | 0.0 -0.49800000000000005 0.0
0.4500035955184506 0.6871900555184505 0.5500546190204625 | 0.0 -0.49800000000000005 0.0
0.4500019671366072 0.6871884271366072 0.6014333018934774 | 0.0 -0.49800000000000005 0.0
0.4500006065322593 0.6871870665322594 0.6614686912011224 | 0.0 -0.49800000000000005 0.0
0.49999939346774075 0.6871870665322594 0.2885313087988777 | 0.0 -0.49800000000000005 0.0
0.49999803286339284 0.6871884271366072 0.34856669810652263 | 0.0 -0.49800000000000005 0.0
0.49999640448154953 0.6871900555184505 0.39994538097953736 | 0.0 -0.49800000000000005 0.0
0.4999967992938901 0.68718966070611 0.45000320070610983 | 0.0 -0.49800000000000005 0.0
0.4999967992938901 0.68718966070611 0.4999967992938901 | 0.0 -0.49800000000000005 0.0
0.4999964044815496 0.6871900555184505 0.5500546190204625 | 0.0 -0.49800000000000005 0.0
0.4999980328633928 0.6871884271366072 0.6014333018934775 | 0.0 -0.49800000000000005 0.0
0.49999939346774075 0.6871870665322594 0.6614686912011224 | 0.0 -0.49800000000000005 0.0
0.5500299618132907 0.6871872795196017 0.2885519119948869 | 0.0 -0.49800000000000005 0.0
0.550022069621646 0.6871886351202383 0.3485951843481023 | 0.0 -0.49800000000000005 0.0
0.5500378772735194 0.6871903213545241 0.39996212272648046 | 0.0 -0.49800000000000005 0.0
